,subj,rel,obj,text
144,Giorgia Meloni,’,Giorgia Meloni,"Thus far in the Ukraine war, Giorgia Meloni’s has clearly positioned Giorgia Meloni’s in line with NATO and the West."
145,Jörg Haider’s (right-wing populist) FPÖ party,rise,Romano Prodi's tenure,"What advice would Romano Prodi give to Romano Prodi's successor Ursula von der Leyen, when it comes to dealing with Giorgia Meloni’s: During Romano Prodi's tenure, Jörg Haider’s (right-wing populist) FPÖ party rose to power in Austria."
146,columnist Sima Kadmon,write,the Yediot Ahronot,"“If former leader Benjamin Netanyahu is triumphant,” wrote columnist Sima Kadmon in the Yediot Ahronot daily, “these will be the final days of the state of Israel as we have known Israel for 75 years. ”"
147,former leader Benjamin Netanyahu,paint,former leader Benjamin Netanyahu,"former leader Benjamin Netanyahu, paints former leader Benjamin Netanyahu as the consummate statesman and only leader capable of steering Israel through Israel's myriad challenges."
148,President Abdelmadjid Tebboune,roll,President Abdelmadjid Tebboune's guests,"President Abdelmadjid Tebboune has rolled out the red carpet for President Abdelmadjid Tebboune's guests, whom President Abdelmadjid Tebboune will host for a sumptuous opening dinner on Tuesday at 6:00 pm (1700 GMT)."
149,Morocco,pit,the its neighbour Algeria Polisario Front,The status of the Western Sahara– has pitted Morocco against the its neighbour Algeria Polisario Front since the 1970s.
150,each Arab state,have,each Arab state's own agenda,"""The paradox of the last Arab League summit in 2019 is that the last Arab League summit in 2019's being billed as a unifying event, whereas each Arab state actually has each Arab state's own agenda and goals fitting each Arab state's interests,"" Geneva-based expert Hasni Abidi said."
151,Pierre Boussel,feel,Algiers,"Pierre Boussel of France's Foundation for Strategic Research (FRS) said the ""shockwave"" of the Ukraine war, which has disrupted key grain imports for the region from the Black Sea, was being felt in Algiers."
152,Brazil's Bolsonaro,lose,Lula,Brazil's Bolsonaro lost a runoff vote to Lula on Sunday's but has yet to concede.
153,Brazil's Bolsonaro's allies,do,Brazil's Bolsonaro,But it was not clear if Brazil's Bolsonaro would concede his election defeat as Brazil's Bolsonaro's allies were encouraging Brazil's Bolsonaro to do.
154,Jason McCue,be,Britain's House,"""Wagner and its alleged boss Yevgeny Prigozhin's purpose was to spread terror and chaos in Ukraine,"" Jason McCue, senior partner at McCue Jury and Partners, told Britain's House of Commons Foreign Affairs Committee on Tuesday."
155,BelarusThe,station,Russian troops,"BelarusThe allows Russian troops to be stationed on Belarusian territory and stage attacks on Ukraine from there, although BelarusThe insists BelarusThe does not want to join the conflict directly."
156,BelarusThe,station,Russian troops,"BelarusThe allows Russian troops to be stationed on Belarusian territory and stage attacks on Ukraine from there, although BelarusThe insists BelarusThe does not want to join the conflict directly."
157,UkraineTurkish Defence Minister Hulusi Akar,re,Russia,UkraineTurkish Defence Minister Hulusi Akar also told UkraineTurkish Defence Minister Hulusi Akar's Russian counterpart on Monday that Russia should re-evaluate Russia's decision.
158,UkraineTurkish Defence Minister Hulusi Akar,-,UkraineTurkish Defence Minister Hulusi Akar's Russian counterpart,UkraineTurkish Defence Minister Hulusi Akar also told UkraineTurkish Defence Minister Hulusi Akar's Russian counterpart on Monday that Russia should re-evaluate Russia's decision.
159,UkraineTurkish Defence Minister Hulusi Akar,evaluate,UkraineTurkish Defence Minister Hulusi Akar's Russian counterpart,UkraineTurkish Defence Minister Hulusi Akar also told UkraineTurkish Defence Minister Hulusi Akar's Russian counterpart on Monday that Russia should re-evaluate Russia's decision.
160,the Russian president,be,Armenian Prime Minister Nikol Pashinyan,"""The most important is to ensure peace and create conditions for development,"" the Russian president told Armenian Prime Minister Nikol Pashinyan."
161,Russia,isolate,Russia's offensive,"With Russia increasingly isolated on the world stage following Russia's offensive on Ukraine, the US and the EU have taken a leading role in mediating the Armenia-Azerbaijan peace talks."
162,Azerbaijani President Ilham Aliyev,repopulate,Karabakh,Azerbaijani President Ilham Aliyev has vowed to repopulate Karabakh with Azerbaijanis and recently re-opened an airport in the Nagorno-Karabakh territory.
163,Paul Pogba,recommence,Juve,"However after returning to training early last month Paul Pogba changed Paul Pogba's mind and opted for surgery, which kept Paul Pogba on the sidelines until two weeks ago when Paul Pogba recommenced partial training with Juve."
164,Paul Pogba's blackmailers,discredit,Paul Pogba,"Paul Pogba told investigators that Paul Pogba's blackmailers wanted to discredit Paul Pogba by claiming Paul Pogba asked a witch doctor to cast a spell on Paris Saint-Germain and France star Kylian Mbappe, which Paul Pogba denies."
165,far-right incumbent Jair Bolsonaro,snap,AdvertisingRead,"However the election came down to the wire, with far-right incumbent Jair Bolsonaro snapping at AdvertisingRead moreLula, as he is affectionately known's heels until the last."
166,former leftist leader Luiz Inacio Lula da Silva,discover,Médias Monde   Brazil's election authority,"Discover our webdocumentary: former leftist leader Luiz Inacio Lula da Silva vs Bolsonaro © Studio Graphique - France Médias Monde   Brazil's election authority called the race for former leftist leader Luiz Inacio Lula da Silva shortly before midnight Paris time, saying the result was “mathematically defined”."
167,Bolsonaro,be,Bolsonaro's political destiny,"Democracy vs God?While Lula on Sunday cast Lula's ballot “for democracy”, Bolsonaro laid Bolsonaro's political destiny into the hands of God: “God willing, we will be victorious later today,” Bolsonaro said as Bolsonaro voted."
168,Ayoub Abdelkerim Abdoulaye,be,AFP,"more""The kidnapped Franco-Australian hostage was this quick and successful action in the province of Tibesti (North), in an area bordering Niger and Libya by the defence and security forces,"" Ayoub Abdelkerim Abdoulaye, governor of the eastern province of Wadi Fira where the abduction took place, told AFP."
169,Chadian authorities,work,Chadian authorities,"Chadian authorities also reported Chadian authorities worked in Oryx Park on behalf of the Sahara Conservation Fund (SCF), a wildlife conservation NGO."
170,The International Atomic Energy Agency,occur,the Zaporozhye nuclear power plant’s perimeter fence,"""a landmine explosion outside the station’s territory occurred yesterday evening outside the Zaporozhye nuclear power plant’s perimeter fence, disconnecting the 750 kilovolt (kV) external power line between the Zaporozhye nuclear power plant’s's switchyard and the main electrical transformer of the Zaporozhye nuclear power plant’s Unit 4,"" The International Atomic Energy Agency (IAEA) continued."
171,the Russian Defense Ministry,suspend,Russia,"On October 29, the Russian Defense Ministry said that Russia was suspending Russia's participation in the Black Sea grain transportation deal after the terrorist attack in Sevastopol, which was carried out by the Kiev regime with the participation of British specialists against the Black Sea Fleet and the commercial vessels involved in ensuring security of the grain corridor."
172,Kremlin Spokesman Dmitry Peskov,have,TASS,"Presidents of Russia and Azerbaijan Vladimir Putin and Ilham Aliyev and Armenian Prime Minister Nikol Pashinyan are having a trilateral meeting, with Foreign Ministers of the three countries talking separately, Kremlin Spokesman Dmitry Peskov told TASS Monday."
173,the Russian Defense Ministry,suspend,Russia,"On Saturday, the Russian Defense Ministry said that due to the October 29 terror attack ""committed by the Kiev regime with the participation of British specialists"" against the Black Sea Fleet ships and civilian vessels employed to safeguard the security of the grain corridor ""Russia is suspending Russia's participation in the agreements on the exports of agricultural products from Ukrainian ports. """
174,Ronen Zvulun/Reuters)With former allies,sit,former leader Benjamin Netanyahu,"(Ronen Zvulun/Reuters)With former allies and proteges refusing to sit under former leader Benjamin Netanyahu while former leader Benjamin Netanyahu is on trial, Netanyahu, who was expected to cast former leader Benjamin Netanyahu's ballot later Tuesday, has been unable to form a viable majority government in the 120-seat Knesset, or parliament."
175,columnist Sima Kadmon,write,the Yediot Ahronot,"(Ahmad Gharabli/AFP/Getty Images)""If former leader Benjamin Netanyahu is triumphant,"" wrote columnist Sima Kadmon in the Yediot Ahronot daily, ""these will be the final days of the state of Israel as we have known the country for 75 years. """
176,Netanyahu,paint,former leader Benjamin Netanyahu,"the race Netanyahu, currently opposition leader, paints former leader Benjamin Netanyahu as the consummate statesman and only leader capable of steering the country through the country's myriad challenges."
177,S.  House Speaker Nancy Pelosi,wheel,Congress,"By breaking S.  House Speaker Nancy Pelosi's's kneecaps, S.  House Speaker Nancy Pelosi's would then have to be wheeled into Congress, which would show other members of Congress there were consequences to actions,"" a chilling federal complaint says."
178,Elon Musk,delete,Elon Musk's millions,"Elon Musk over the weekend tweeted, then deleted, a fringe website's far-flung conspiracy theories to Elon Musk's millions of followers, as Elon Musk's purchase of Twitter has raised concerns that Twitter would no longer seek to limit misinformation and hate speech."
179,Moscow,intensify,Moscow's attacks,"Moscow has intensified Moscow's attacks on Ukraine's power plants and other key infrastructure as the war enters the war's ninth month, forcing rolling power cuts."
180,Moscow,funnel,Ukraine,": Day 68:52How a multi-billion dollar campaign to arm Ukraine's might funnel weapons into the wrong handsSince Moscow invaded Ukraine's, the United States has one of the largest and fastest arms transfers ever seen more than $17 billion in military assistance to Ukraine's, one of the largest and fastest arms transfers ever seen."
181,Moscow,mishandle,Moscow's own weapons,"(Gleb Garanich/Reuters)'A crisis of huge proportions'Ukraine has denied responsibility for Saturday's's Black Sea Fleet attack, saying that Moscow mishandled Moscow's own weapons, but Moscow still announced Moscow was retaliating by halting Moscow's participation in the UN and Turkey-brokered grain deal."
182,UN's trade chief,turn,the Security Council,"UN's trade chief, Rebeca Grynspan, warned the Security Council that uncertainty over the UN and Turkey-brokered grain deal and high global fertilizer prices may turn today's crisis over the affordability of food into ""tomorrow's crisis of availability and a crisis of huge proportions. """
183,Naguib Sinarimbo,run,The Associated Press,"""When its more than 2,000 villagers heard the warning bells, its more than 2,000 villagers ran up and gathered in a church on a high ground,"" Naguib Sinarimbo, the interior minister for the Bangsamoro autonomous region run by former separatist guerrillas under a peace pact told The Associated Press on Monday, citing accounts by southern Kusiong village in hard-hit Maguindanao villagers."
